Iter  GoF  Param1  Param2  Param3  Param4  
1   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
2   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
3   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
4   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
5   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
6   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
7   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
8   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
9   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
10   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
11   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
12   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
13   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
14   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
15   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
16   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
17   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
18   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
19   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
20   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
21   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
22   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
23   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
24   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
25   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
26   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
27   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
28   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
29   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
30   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
31   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
32   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
33   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
34   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
35   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
36   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
37   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
38   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
39   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
40   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
41   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
42   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
43   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
44   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
45   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
46   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
47   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
48   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
49   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
50   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
51   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
52   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
53   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
54   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
55   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
56   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
57   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
58   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
59   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
60   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
61   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
62   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
63   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
64   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
65   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
66   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
67   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
68   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
69   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
70   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
71   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
72   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
73   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
74   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
75   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
76   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
77   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
78   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
79   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
80   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
81   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
82   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
83   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
84   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
85   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
86   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
87   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
88   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
89   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
90   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
91   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
92   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
93   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
94   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
95   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
96   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
97   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
98   7.9362596E-04   2.0000000E+02   4.0000000E+00   5.0000000E+06   1.0000000E+01  
99   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
100   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
101   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
102   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
103   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
104   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
105   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
106   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
107   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
108   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
109   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
110   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
111   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
112   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
113   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
114   7.1014202E-04   1.7739387E+02   1.0000000E-01   5.0000324E+06   6.5678119E+00  
115   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
116   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
117   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
118   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
119   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
120   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
121   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
122   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
123   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
124   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
125   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
126   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
127   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
128   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
129   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
130   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
131   7.0035921E-04   1.7701927E+02   1.4563995E+00   5.0000325E+06   7.0858868E+00  
132   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
133   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
134   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
135   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
136   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
137   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
138   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
139   6.9974558E-04   1.7682692E+02   1.3258191E+00   5.0000325E+06   7.1227523E+00  
140   6.9963121E-04   1.7648727E+02   1.4407141E+00   5.0000326E+06   7.0965101E+00  
141   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
142   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
143   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
144   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
145   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
146   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
147   6.9954645E-04   1.7648399E+02   1.5273891E+00   5.0000326E+06   7.1724929E+00  
