Iter  Part  GoF  Model_Output  
1  1   7.9362596E-04   7.9362596E-04  
1  2   4.2496969E-03   4.2496969E-03  
2  1   2.1954574E-03   2.1954574E-03  
2  2   6.7905318E-03   6.7905318E-03  
3  1   4.8293287E-03   4.8293287E-03  
3  2   2.4686928E-03   2.4686928E-03  
4  1   5.6724902E-03   5.6724902E-03  
4  2   6.4031126E-03   6.4031126E-03  
5  1   1.4175230E-02   1.4175230E-02  
5  2   4.9788941E-03   4.9788941E-03  
6  1   3.5691414E-03   3.5691414E-03  
6  2   5.7582716E-03   5.7582716E-03  
7  1   6.6290479E-03   6.6290479E-03  
7  2   5.5920463E-03   5.5920463E-03  
8  1   3.2488999E-03   3.2488999E-03  
8  2   6.0611453E-03   6.0611453E-03  
9  1   1.4031644E-02   1.4031644E-02  
9  2   6.6563490E-03   6.6563490E-03  
10  1   3.4747066E-03   3.4747066E-03  
10  2   2.4790972E-03   2.4790972E-03  
11  1   4.4767220E-03   4.4767220E-03  
11  2   1.5132844E-02   1.5132844E-02  
12  1   3.5725463E-03   3.5725463E-03  
12  2   1.5080954E-02   1.5080954E-02  
13  1   5.6884589E-03   5.6884589E-03  
13  2   1.5039257E-02   1.5039257E-02  
14  1   2.9195600E-03   2.9195600E-03  
14  2   5.8414870E-03   5.8414870E-03  
15  1   3.4648815E-03   3.4648815E-03  
15  2   2.6128699E-03   2.6128699E-03  
16  1   5.7987105E-03   5.7987105E-03  
16  2   2.6253957E-03   2.6253957E-03  
17  1   3.0755293E-03   3.0755293E-03  
17  2   2.5195577E-03   2.5195577E-03  
18  1   3.0012879E-03   3.0012879E-03  
18  2   5.9717538E-03   5.9717538E-03  
19  1   3.5063442E-03   3.5063442E-03  
19  2   6.8102094E-03   6.8102094E-03  
20  1   1.4128557E-02   1.4128557E-02  
20  2   2.5001548E-03   2.5001548E-03  
21  1   1.4177426E-02   1.4177426E-02  
21  2   2.5090217E-03   2.5090217E-03  
22  1   2.8559003E-03   2.8559003E-03  
22  2   2.5156199E-03   2.5156199E-03  
23  1   2.9530965E-03   2.9530965E-03  
23  2   1.5023859E-02   1.5023859E-02  
24  1   2.8987475E-03   2.8987475E-03  
24  2   1.5067972E-02   1.5067972E-02  
25  1   3.0127220E-03   3.0127220E-03  
25  2   5.5178928E-03   5.5178928E-03  
26  1   1.4136129E-02   1.4136129E-02  
26  2   4.8119082E-03   4.8119082E-03  
27  1   3.0165135E-03   3.0165135E-03  
