"d" "date" "P" "ETpot" "Qobs" "fXG" "fXS" "hSmin" "dGobs" "ETact" "Q" "fGS" "fQS" "dV" "dVeq" "dG" "hQ" "hS" "W"
1322694000 20111130230000 NA NA NA NA NA 0 0 NA 0 NA NA 159.19 159.19 1250 0 0 0.0992
1322697600 20111201000000 0 0 0 0 0 0 0 0 0 0.0125 0 159.21 159.19 1250 0 1.25 0.0992
1322701200 20111201010000 0 0 0.0044 0 0 0 0 0 0.0001 0.0124 0 159.22 159.19 1250 0 2.48 0.0991
1322704800 20111201020000 0 0 0.0039 0 0 0 0 0 0.0003 0.0124 0 159.23 159.2 1250.01 0 3.69 0.0991
1322708400 20111201030000 0 0 0.0039 0 0 0 0 0 0.0005 0.0123 0 159.24 159.2 1250.02 0 4.88 0.099
1322712000 20111201040000 0 0 0.0044 0 0 0 0 0 0.0007 0.0123 0 159.26 159.2 1250.03 0 6.03 0.099
1322715600 20111201050000 0 0 0.0044 0 0 0 0 0 0.001 0.0122 0 159.27 159.2 1250.04 0 7.15 0.0989
1322719200 20111201060000 0 0 0.0044 0 0 0 0 0 0.0013 0.0121 0 159.28 159.2 1250.06 0 8.23 0.0988
1322722800 20111201070000 0.5 0 0.0044 0 0 0 0 0 0.0016 0.0121 0 158.84 159.21 1250.08 0.05 9.77 0.1009
1322726400 20111201080000 0.3 0.0016 0.0044 0 0 0 0 0.0016 0.0021 0.012 0.0049 158.59 159.19 1249.99 0.07 11.56 0.1021
1322730000 20111201090000 0 0.0078 0.0044 0 0 0 0 0.0077 0.0027 0.0119 0.0075 158.61 159.16 1249.84 0.07 13.22 0.102
1322733600 20111201100000 0 0.0422 0.0044 0 0 0 0 0.0419 0.0033 0.0119 0.0067 158.66 159.14 1249.7 0.06 14.7 0.1018
1322737200 20111201110000 0 0.0438 0.005 0 0 0 0 0.0435 0.0039 0.0118 0.006 158.72 159.12 1249.58 0.05 16.05 0.1015
