"d" "date" "P" "ETpot" "Qobs" "fXG" "fXS" "hSmin" "Gobs" "ETact" "Q" "fGS" "fQS" "dV" "dVeq" "dG" "hS" "hQ" "W"
1322694000 20111130230000 NA NA NA NA NA 0 0 NA 0.0044 NA NA 149.99 149.99 1200 60.4 0 0.1312
1322697600 20111201000000 0 0 0.0044 0 0 0 0 0 0.0044 0.0144 0 150 149.99 1200 61.4 0 0.1312
1322701200 20111201010000 0 0 0.0039 0 0 0 0 0 0.0045 0.0143 0 150.02 149.99 1200.01 62.38 0 0.1311
1322704800 20111201020000 0 0 0.0039 0 0 0 0 0 0.0046 0.0143 0 150.03 149.99 1200.02 63.34 0 0.131
1322708400 20111201030000 0 0 0.0044 0 0 0 0 0 0.0048 0.0142 0 150.05 149.99 1200.04 64.28 0 0.1309
1322712000 20111201040000 0 0 0.0044 0 0 0 0 0 0.0049 0.0141 0 150.06 150 1200.06 65.21 0 0.1308
1322715600 20111201050000 0 0 0.0044 0 0 0 0 0 0.005 0.0141 0 150.07 150 1200.08 66.12 0 0.1308
1322719200 20111201060000 0.5 0 0.0044 0 0 0 0 0 0.0051 0.014 0 149.65 150.01 1200.11 67.51 0.07 0.133
1322722800 20111201070000 0.3 0.0016 0.0044 0 0 0 0 0.0016 0.0053 0.0139 0.0175 149.41 149.98 1199.96 70.42 0.09 0.1344
1322726400 20111201080000 0 0.0078 0.0044 0 0 0 0 0.0077 0.0057 0.0138 0.0235 149.43 149.94 1199.72 73.57 0.06 0.1343
1322730000 20111201090000 0 0.0422 0.0044 0 0 0 0 0.0419 0.0062 0.0136 0.0171 149.49 149.9 1199.5 75.98 0.05 0.134
1322733600 20111201100000 0 0.0438 0.005 0 0 0 0 0.0435 0.0065 0.0135 0.0125 149.54 149.86 1199.33 77.89 0.03 0.1336
1322737200 20111201110000 0 0.0672 0.005 0 0 0 0 0.0668 0.0068 0.0134 0.0091 149.62 149.84 1199.19 79.39 0.02 0.1332
1322740800 20111201120000 0 0.025 0.005 0 0 0 0 0.0248 0.007 0.0133 0.0066 149.66 149.82 1199.1 80.66 0.02 0.133
1322744400 20111201130000 0.2 0.0094 0.005 0 0 0 0 0.0093 0.0072 0.0133 0.0048 149.51 149.81 1199.03 81.94 0.04 0.1338
1322748000 20111201140000 0 0.0031 0.005 0 0 0 0 0.0031 0.0074 0.0132 0.0107 149.53 149.79 1198.9 83.58 0.03 0.1337
1322751600 20111201150000 0.4 0 0.005 0 0 0 0 0 0.0077 0.0131 0.0078 149.2 149.77 1198.79 85.3 0.07 0.1355
1322755200 20111201160000 0 0 0.0055 0 0 0 0 0 0.0079 0.013 0.02 149.21 149.72 1198.54 87.81 0.05 0.1355
1322758800 20111201170000 0 0 0.0055 0 0 0 0 0 0.0084 0.0129 0.0146 149.22 149.68 1198.33 89.72 0.04 0.1354
1322762400 20111201180000 0 0 0.0055 0 0 0 0 0 0.0087 0.0128 0.0106 149.23 149.65 1198.13 91.19 0.03 0.1353
1322766000 20111201190000 1 0 0.0061 0 0 0 0 0 0.0089 0.0127 0.0078 148.38 149.61 1197.95 93.35 0.16 0.14
1322769600 20111201200000 1.2 0 0.0061 0 0 0 0 0 0.0093 0.0126 0.0419 147.36 149.52 1197.43 99.07 0.28 0.1457
1322773200 20111201210000 0.3 0 0.0066 0 0 0 0 0 0.0103 0.0123 0.0756 147.12 149.35 1196.5 107.14 0.25 0.1471
1322776800 20111201220000 0.3 0 0.0072 0 0 0 0 0 0.0118 0.0119 0.0669 146.88 149.17 1195.55 114.14 0.23 0.1485
1322780400 20111201230000 0 0 0.0078 0 0 0 0 0 0.0132 0.0116 0.0606 146.89 148.99 1194.57 120.03 0.16 0.1484
1322784000 20111202000000 0 0 0.0083 0 0 0 0 0 0.0145 0.0113 0.0442 146.9 148.83 1193.66 124.14 0.12 0.1484
1322787600 20111202010000 0 0 0.0089 0 0 0 0 0 0.0153 0.0112 0.0322 146.91 148.68 1192.84 126.94 0.09 0.1483
1322791200 20111202020000 0.2 0 0.0089 0 0 0 0 0 0.016 0.0111 0.0235 146.75 148.54 1192.08 129 0.09 0.1492
1322794800 20111202030000 0.4 0 0.0089 0 0 0 0 0 0.0164 0.011 0.0251 146.42 148.4 1191.32 131.37 0.13 0.1511
1322798400 20111202040000 0.2 0 0.0094 0 0 0 0 0 0.017 0.0109 0.0343 146.26 148.25 1190.47 134.4 0.12 0.152
1322802000 20111202050000 0.2 0 0.01 0 0 0 0 0 0.0177 0.0108 0.0331 146.1 148.09 1189.62 137.22 0.12 0.1529
1322805600 20111202060000 0 0 0.0105 0 0 0 0 0 0.0183 0.0107 0.0323 146.12 147.94 1188.77 139.7 0.09 0.1529
1322809200 20111202070000 0 0.0013 0.0105 0 0 0 0 0.0013 0.0189 0.0107 0.0235 146.13 147.79 1187.99 141.22 0.06 0.1528
1322812800 20111202080000 0 0.0153 0.0105 0 0 0 0 0.0152 0.0193 0.0107 0.0172 146.15 147.66 1187.28 142.06 0.05 0.1526
1322816400 20111202090000 0 0.0254 0.0105 0 0 0 0 0.0252 0.0195 0.0107 0.0125 146.19 147.55 1186.63 142.4 0.03 0.1524
1322820000 20111202100000 0 0.0432 0.0105 0 0 0 0 0.0429 0.0196 0.0107 0.0091 146.24 147.44 1186.05 142.39 0.02 0.1521
1322823600 20111202110000 0 0.0597 0.0105 0 0 0 0 0.0593 0.0196 0.0108 0.0067 146.31 147.35 1185.54 142.11 0.02 0.1517
1322827200 20111202120000 0 0.0712 0.0105 0 0 0 0 0.0708 0.0195 0.0108 0.0049 146.39 147.27 1185.1 141.66 0.01 0.1512
1322830800 20111202130000 0 0.0585 0.01 0 0 0 0 0.0581 0.0194 0.0109 0.0035 146.46 147.2 1184.73 141.1 0.01 0.1508
1322834400 20111202140000 0 0.0242 0.01 0 0 0 0 0.0241 0.0193 0.011 0.0026 146.5 147.14 1184.41 140.51 0.01 0.1506
1322838000 20111202150000 0 0.0013 0.01 0 0 0 0 0.0013 0.0191 0.0111 0.0019 146.51 147.09 1184.14 139.89 0.01 0.1506
1322841600 20111202160000 0 0 0.01 0 0 0 0 0 0.019 0.0111 0.0014 146.52 147.05 1183.89 139.24 0 0.1505
1322845200 20111202170000 0 0 0.01 0 0 0 0 0 0.0188 0.0112 0.001 146.53 147 1183.67 138.57 0 0.1504
1322848800 20111202180000 0 0 0.01 0 0 0 0 0 0.0187 0.0112 0.0007 146.55 146.97 1183.46 137.9 0 0.1504
1322852400 20111202190000 0 0 0.0094 0 0 0 0 0 0.0185 0.0113 0.0005 146.56 146.93 1183.28 137.24 0 0.1503
1322856000 20111202200000 0 0 0.0094 0 0 0 0 0 0.0183 0.0114 0.0004 146.57 146.91 1183.12 136.58 0 0.1503
1322859600 20111202210000 0 0 0.0094 0 0 0 0 0 0.0182 0.0114 0.0003 146.58 146.88 1182.98 135.93 0 0.1502
1322863200 20111202220000 0 0 0.0094 0 0 0 0 0 0.018 0.0115 0.0002 146.59 146.86 1182.85 135.3 0 0.1501
1322866800 20111202230000 0 0 0.0094 0 0 0 0 0 0.0179 0.0115 0.0002 146.6 146.84 1182.74 134.68 0 0.1501
1322870400 20111203000000 0 0 0.0094 0 0 0 0 0 0.0177 0.0116 0.0001 146.61 146.82 1182.64 134.08 0 0.15
1322874000 20111203010000 0 0 0.0094 0 0 0 0 0 0.0176 0.0116 0.0001 146.63 146.8 1182.55 133.49 0 0.1499
1322877600 20111203020000 0 0 0.0094 0 0 0 0 0 0.0175 0.0117 0.0001 146.64 146.79 1182.48 132.92 0 0.1499
1322881200 20111203030000 0 0 0.0094 0 0 0 0 0 0.0173 0.0117 0 146.65 146.78 1182.41 132.36 0 0.1498
1322884800 20111203040000 0 0 0.0094 0 0 0 0 0 0.0172 0.0118 0 146.66 146.77 1182.36 131.82 0 0.1497
1322888400 20111203050000 0.1 0 0.0094 0 0 0 0 0 0.0171 0.0118 0 146.59 146.76 1182.32 131.4 0.02 0.1501
1322892000 20111203060000 1.5 0 0.01 0 0 0 0 0 0.017 0.0118 0.004 145.33 146.74 1182.24 132.79 0.24 0.1574
1322895600 20111203070000 2.7 0 0.0105 0 0 0 0 0 0.0173 0.0118 0.0633 143.06 146.63 1181.64 141.26 0.6 0.1708
1322899200 20111203080000 0.8 0.0029 0.0122 0 0 0 0 0.0029 0.0203 0.0111 0.1585 142.41 146.35 1180.07 156.98 0.57 0.1748
1322902800 20111203090000 0.7 0.0043 0.0155 0 0 0 0 0.0043 0.0244 0.0102 0.1518 141.85 146.04 1178.36 171.45 0.54 0.1782
1322906400 20111203100000 0.5 0.0101 0.0183 0 0 0 0 0.01 0.0283 0.0095 0.142 141.46 145.71 1176.56 184.25 0.49 0.1806
1322910000 20111203110000 0.3 0.0174 0.0194 0 0 0 0 0.0173 0.0321 0.0089 0.1262 141.24 145.38 1174.75 194.83 0.42 0.1819
1322913600 20111203120000 1 0.0174 0.0205 0 0 0 0 0.0173 0.0345 0.0085 0.1118 140.45 145.06 1172.98 204.39 0.49 0.1869
1322917200 20111203130000 0 0.0304 0.0233 0 0 0 0 0.0302 0.0386 0.0079 0.1215 140.49 144.71 1171.05 213.44 0.36 0.1866
1322920800 20111203140000 0 0.0159 0.0255 0 0 0 0 0.0158 0.0409 0.0076 0.0974 140.51 144.38 1169.25 219.83 0.26 0.1865
1322924400 20111203150000 0 0.0014 0.0266 0 0 0 0 0.0014 0.0432 0.0073 0.071 140.52 144.08 1167.59 223.35 0.19 0.1864
1322928000 20111203160000 0 0 0.0277 0 0 0 0 0 0.0445 0.0073 0.0518 140.53 143.8 1166.07 224.8 0.14 0.1864
1322931600 20111203170000 0 0 0.0282 0 0 0 0 0 0.045 0.0073 0.0378 140.53 143.55 1164.67 224.8 0.1 0.1863
1322935200 20111203180000 0 0 0.0282 0 0 0 0 0 0.045 0.0074 0.0275 140.54 143.31 1163.38 223.79 0.07 0.1863
1322938800 20111203190000 0 0 0.0282 0 0 0 0 0 0.0447 0.0076 0.0201 140.55 143.1 1162.19 222.09 0.05 0.1862
1322942400 20111203200000 0 0 0.0282 0 0 0 0 0 0.044 0.0078 0.0146 140.56 142.9 1161.1 219.94 0.04 0.1862
